area,year,value
San Francisco-Oakland-Hayward,2019,295.004
San Francisco-Oakland-Hayward,2020,300.084
San Francisco-Oakland-Hayward,2021,309.721
San Francisco-Oakland-Hayward,2022,327.06
San Francisco-Oakland-Hayward,2023,339.05
San Francisco-Oakland-Hayward,2024,348.417
San Francisco-Oakland-Hayward,2025,356.005
Los Angeles-Long Beach-Anaheim,2019,274.114
Los Angeles-Long Beach-Anaheim,2020,278.567
Los Angeles-Long Beach-Anaheim,2021,289.244
Los Angeles-Long Beach-Anaheim,2022,310.782
Los Angeles-Long Beach-Anaheim,2023,321.583
Los Angeles-Long Beach-Anaheim,2024,332.194
Los Angeles-Long Beach-Anaheim,2025,342.676
San Diego-Carlsbad,2019,299.433
San Diego-Carlsbad,2020,303.932
San Diego-Carlsbad,2021,319.761
San Diego-Carlsbad,2022,344.416
San Diego-Carlsbad,2023,362.022
San Diego-Carlsbad,2024,373.321
San Diego-Carlsbad,2025,387.463
Riverside-San Bernardino-Ontario,2019,105.697
Riverside-San Bernardino-Ontario,2020,107.672
Riverside-San Bernardino-Ontario,2021,113.875
Riverside-San Bernardino-Ontario,2022,123.784
Riverside-San Bernardino-Ontario,2023,129.545
Riverside-San Bernardino-Ontario,2024,132.932
Riverside-San Bernardino-Ontario,2025,137.293
