location,year,as_of_month,fulltime_lecturers,source
Berkeley,2021,October,347,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
Berkeley,2022,October,316,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
Berkeley,2023,October,327,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
Berkeley,2024,October,322,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
Berkeley,2025,October,338,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
UC systemwide,2021,October,1866,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
UC systemwide,2022,October,1690,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
UC systemwide,2023,October,1762,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
UC systemwide,2024,October,1755,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
UC systemwide,2025,October,1726,"UC employee headcount dashboard, Full Time filter, Faculty - Lecturers; exported by M. Ball 2026-09-02"
