"Month, Year of Eff date",Pers Prgm Academic,Pers Prgm Cto (group),Headcount Primary
April 2021,Academic,Faculty - Ladder-rank and Equivalent,"11,704"
April 2022,Academic,Faculty - Ladder-rank and Equivalent,"11,578"
April 2023,Academic,Faculty - Ladder-rank and Equivalent,"11,621"
April 2024,Academic,Faculty - Ladder-rank and Equivalent,"11,866"
April 2025,Academic,Faculty - Ladder-rank and Equivalent,"12,010"
April 2026,Academic,Faculty - Ladder-rank and Equivalent,"12,055"
April 2021,Academic,Faculty - Clinical/In-Residence/Adjunct,"8,831"
April 2022,Academic,Faculty - Clinical/In-Residence/Adjunct,"8,959"
April 2023,Academic,Faculty - Clinical/In-Residence/Adjunct,"9,323"
April 2024,Academic,Faculty - Clinical/In-Residence/Adjunct,"9,798"
April 2025,Academic,Faculty - Clinical/In-Residence/Adjunct,"10,209"
April 2026,Academic,Faculty - Clinical/In-Residence/Adjunct,"10,363"
April 2021,Academic,Faculty - Lecturers,"4,220"
April 2022,Academic,Faculty - Lecturers,"4,146"
April 2023,Academic,Faculty - Lecturers,"3,983"
April 2024,Academic,Faculty - Lecturers,"4,079"
April 2025,Academic,Faculty - Lecturers,"4,005"
April 2026,Academic,Faculty - Lecturers,"3,850"
April 2021,Academic,Other Academic Employees,"8,663"
April 2022,Academic,Other Academic Employees,"7,091"
April 2023,Academic,Other Academic Employees,"7,199"
April 2024,Academic,Other Academic Employees,"7,588"
April 2025,Academic,Other Academic Employees,"7,738"
April 2026,Academic,Other Academic Employees,"7,344"
April 2021,Academic,Postdoctoral Scholars,"5,990"
April 2022,Academic,Postdoctoral Scholars,"6,011"
April 2023,Academic,Postdoctoral Scholars,"6,106"
April 2024,Academic,Postdoctoral Scholars,"6,371"
April 2025,Academic,Postdoctoral Scholars,"6,634"
April 2026,Academic,Postdoctoral Scholars,"6,162"
April 2021,Academic,Medical Interns/Residents,"6,342"
April 2022,Academic,Medical Interns/Residents,"6,290"
April 2023,Academic,Medical Interns/Residents,"6,342"
April 2024,Academic,Medical Interns/Residents,"6,389"
April 2025,Academic,Medical Interns/Residents,"6,526"
April 2026,Academic,Medical Interns/Residents,"6,728"
April 2021,Academic,Student Teaching/Research Assistants,"27,190"
April 2022,Academic,Student Teaching/Research Assistants,"27,562"
April 2023,Academic,Student Teaching/Research Assistants,"27,824"
April 2024,Academic,Student Teaching/Research Assistants,"27,740"
April 2025,Academic,Student Teaching/Research Assistants,"26,090"
April 2026,Academic,Student Teaching/Research Assistants,"24,447"
April 2021,Non-Academic,Senior Management Group,169
April 2022,Non-academic,Senior Management Group,163
April 2023,Non-academic,Senior Management Group,176
April 2024,Non-academic,Senior Management Group,194
April 2025,Non-academic,Senior Management Group,195
April 2026,Non-academic,Senior Management Group,183
April 2021,Non-Academic,MSP - Managers,"6,381"
April 2022,Non-academic,MSP - Managers,"6,630"
April 2023,Non-academic,MSP - Managers,"7,090"
April 2024,Non-academic,MSP - Managers,"7,639"
April 2025,Non-academic,MSP - Managers,"8,001"
April 2026,Non-academic,MSP - Managers,"8,021"
April 2021,Non-Academic,MSP - Senior Professionals,"10,583"
April 2022,Non-academic,MSP - Senior Professionals,"11,765"
April 2023,Non-academic,MSP - Senior Professionals,"13,488"
April 2024,Non-academic,MSP - Senior Professionals,"14,674"
April 2025,Non-academic,MSP - Senior Professionals,"15,552"
April 2026,Non-academic,MSP - Senior Professionals,"15,566"
April 2021,Non-Academic,PSS - Non-Students,"109,575"
April 2022,Non-academic,PSS - Non-Students,"113,557"
April 2023,Non-academic,PSS - Non-Students,"119,982"
April 2024,Non-academic,PSS - Non-Students,"130,274"
April 2025,Non-academic,PSS - Non-Students,"136,542"
April 2026,Non-academic,PSS - Non-Students,"137,505"
April 2021,Non-Academic,Student Staff,"21,795"
April 2022,Non-academic,Student Staff,"32,411"
April 2023,Non-academic,Student Staff,"37,345"
April 2024,Non-academic,Student Staff,"38,873"
April 2025,Non-academic,Student Staff,"38,842"
April 2026,Non-academic,Student Staff,"37,360"
April 2021,Academic,All,"72,940"
April 2021,Non-Academic,All,"148,503"
April 2021,All,All,"221,443"
April 2022,Academic,All,"71,637"
April 2022,Non-academic,All,"164,526"
April 2022,All,All,"236,163"
April 2023,Academic,All,"72,398"
April 2023,Non-academic,All,"178,081"
April 2023,All,All,"250,479"
April 2024,Academic,All,"73,831"
April 2024,Non-academic,All,"191,654"
April 2024,All,All,"265,485"
April 2025,Academic,All,"73,212"
April 2025,Non-academic,All,"199,132"
April 2025,All,All,"272,344"
April 2026,Academic,All,"70,949"
April 2026,Non-academic,All,"198,635"
April 2026,All,All,"269,584"
