cto,cto_name,title_code,title,salary_table,status
010,PROFESSORIAL-TENURE,001100,PROF-AY,1,active
010,PROFESSORIAL-TENURE,001103,PROF-AY-1/9,1,active
010,PROFESSORIAL-TENURE,001104,UNIV PROF,,active
010,PROFESSORIAL-TENURE,001110,PROF-FY,2,active
010,PROFESSORIAL-TENURE,001143,PROF-AY-B/E/E,3,active
010,PROFESSORIAL-TENURE,001144,PROF-FY-B/E/E,4,active
010,PROFESSORIAL-TENURE,001145,PROF-AY-1/9-B/E/E,3,active
010,PROFESSORIAL-TENURE,001180,PROF-AY-LAW,8,active
010,PROFESSORIAL-TENURE,001181,PROF-AY-1/9-LAW,8,active
010,PROFESSORIAL-TENURE,001200,ASSOC PROF-AY,1,active
010,PROFESSORIAL-TENURE,001203,ASSOC PROF-AY-1/9,1,active
010,PROFESSORIAL-TENURE,001210,ASSOC PROF-FY,2,active
010,PROFESSORIAL-TENURE,001243,ASSOC PROF-AY-B/E/E,3,active
010,PROFESSORIAL-TENURE,001244,ASSOC PROF-FY-B/E/E,4,active
010,PROFESSORIAL-TENURE,001245,ASSOC PROF-AY-1/9-B/E/E,3,active
010,PROFESSORIAL-TENURE,001719,ASSOC PROF-HCOMP,5,active
010,PROFESSORIAL-TENURE,001721,PROF-HCOMP,5,active
010,PROFESSORIAL-TENURE,001899,ASSOC PROF-SFT-VM,7,active
010,PROFESSORIAL-TENURE,001901,PROF-SFT-VM,7,active
011,PROFESSORIAL-NON-TENURE,001300,ASST PROF-AY,1,active
011,PROFESSORIAL-NON-TENURE,001303,ASST PROF-AY-1/9,1,active
011,PROFESSORIAL-NON-TENURE,001310,ASST PROF-FY,2,active
011,PROFESSORIAL-NON-TENURE,001343,ASST PROF-AY-B/E/E,3,active
011,PROFESSORIAL-NON-TENURE,001344,ASST PROF-FY-B/E/E,4,active
011,PROFESSORIAL-NON-TENURE,001345,ASST PROF-AY-1/9-B/E/E,3,active
011,PROFESSORIAL-NON-TENURE,001403,INSTR-AY-1/9,1,active
011,PROFESSORIAL-NON-TENURE,001715,INSTR-HCOMP,5,active
011,PROFESSORIAL-NON-TENURE,001717,ASST PROF-HCOMP,5,active
011,PROFESSORIAL-NON-TENURE,001895,INSTR-SFT-VM,7,active
011,PROFESSORIAL-NON-TENURE,001897,ASST PROF-SFT-VM,7,active
012,PROFESSORIAL-RECALL,001699,RECALL TEACHING NON-SENATE,1*,active
012,PROFESSORIAL-RECALL,001700,RECALL TEACHING,1*,active
012,PROFESSORIAL-RECALL,001701,RECALL HCOMP,5*,active
012,PROFESSORIAL-RECALL,001702,RECALL FACULTY,1*,active
016,PROFESSORIAL-EMERITUS,001132,PROF EMERITUS(WOS),,active
114,ACTING PROFESSOR-SENATE,001101,ACT PROF-AY-1/9,1,active
114,ACTING PROFESSOR-SENATE,001107,ACT PROF-AY,1,active
114,ACTING PROFESSOR-SENATE,001117,ACT PROF-FY,2,active
114,ACTING PROFESSOR-SENATE,001182,ACT PROF-AY-LAW,8,active
114,ACTING PROFESSOR-SENATE,001183,ACT PROF-AY-1/9-LAW,8,active
114,ACTING PROFESSOR-SENATE,001201,ACT ASSOC PROF-AY-1/9,1,active
114,ACTING PROFESSOR-SENATE,001207,ACT ASSOC PROF-AY,1,active
114,ACTING PROFESSOR-SENATE,001217,ACT ASSOC PROF-FY,2,active
114,ACTING PROFESSOR-SENATE,001540,ACT ASSOC PROF-HCOMP,5,active
114,ACTING PROFESSOR-SENATE,001542,ACT PROF-HCOMP,5,active
114,ACTING PROFESSOR-SENATE,001900,ACT ASSOC PROF-SFT-VM,7,active
114,ACTING PROFESSOR-SENATE,001902,ACT PROF-SFT-VM,7,active
114,ACTING PROFESSOR-SENATE,001971,ACT PROF-AY-B/E/E,3,active
114,ACTING PROFESSOR-SENATE,001972,ACT PROF-FY-B/E/E,4,active
114,ACTING PROFESSOR-SENATE,001973,ACT PROF-AY-1/9-B/E/E,3,active
114,ACTING PROFESSOR-SENATE,001974,ACT ASSOC PROF-AY-B/E/E,3,active
114,ACTING PROFESSOR-SENATE,001975,ACT ASSOC PROF-FY-B/E/E,4,active
114,ACTING PROFESSOR-SENATE,001976,ACT ASSOC PROF-AY-1/9-B/E/E,3,active
124,ACTING PROFESSOR-NON-SENATE,001301,ACT ASST PROF-AY-1/9,1,active
124,ACTING PROFESSOR-NON-SENATE,001307,ACT ASST PROF-AY,1,active
124,ACTING PROFESSOR-NON-SENATE,001317,ACT ASST PROF-FY,2,active
124,ACTING PROFESSOR-NON-SENATE,001564,ACT ASST PROF-HCOMP,5,active
124,ACTING PROFESSOR-NON-SENATE,001898,ACT ASST PROF-SFT-VM,7,active
124,ACTING PROFESSOR-NON-SENATE,001977,ACT ASST PROF-AY-B/E/E,3,active
124,ACTING PROFESSOR-NON-SENATE,001978,ACT ASST PROF-FY-B/E/E,4,active
124,ACTING PROFESSOR-NON-SENATE,001979,ACT ASST PROF-AY-1/9-B/E/E,3,active
210,PROFESSOR OF TEACHING - SOE,001603,PROF OF TEACH-AY,1,active
210,PROFESSOR OF TEACHING - SOE,001604,PROF OF TEACH-AY-1/9,1,active
210,PROFESSOR OF TEACHING - SOE,001607,ASSOC PROF OF TEACH-AY,1,active
210,PROFESSOR OF TEACHING - SOE,001608,ASSOC PROF OF TEACH-AY-1/9,1,active
210,PROFESSOR OF TEACHING - SOE,001612,PROF OF TEACH-AY-1/10,1,active
210,PROFESSOR OF TEACHING - SOE,001613,PROF OF TEACH-FY,2,active
210,PROFESSOR OF TEACHING - SOE,001614,ASSOC PROF OF TEACH-AY-1/10,1,active
210,PROFESSOR OF TEACHING - SOE,001617,ASSOC PROF OF TEACH-FY,2,active
210,PROFESSOR OF TEACHING - SOE,001618,ASSOC PROF OF TEACH-HCOMP,5,active
210,PROFESSOR OF TEACHING - SOE,001619,PROF OF TEACH-HCOMP,5,active
210,PROFESSOR OF TEACHING - SOE,001656,PROF OF TEACH-AY-1/9-LAW,8,active
210,PROFESSOR OF TEACHING - SOE,001658,PROF OF TEACH-AY-1/10-LAW,8,active
210,PROFESSOR OF TEACHING - SOE,001668,PROF OF TEACH-SFT-VM,7,active
210,PROFESSOR OF TEACHING - SOE,001669,ASSOC PROF OF TEACH-SFT-VM,7,active
210,PROFESSOR OF TEACHING - SOE,001672,PROF OF TEACH-AY-1/10-B/E/E,3,active
210,PROFESSOR OF TEACHING - SOE,001673,ASSOC PROF TEACH-AY-1/10-B/E/E,3,active
210,PROFESSOR OF TEACHING - SOE,001686,PROF OF TEACH-AY-B/E/E,3,active
210,PROFESSOR OF TEACHING - SOE,001687,ASSOC PROF OF TEACH-AY-B/E/E,3,active
210,PROFESSOR OF TEACHING - SOE,001689,PROF OF TEACH-FY-B/E/E,4,active
210,PROFESSOR OF TEACHING - SOE,001690,ASSOC PROF OF TEACH-FY-B/E/E,4,active
