"","Title","count","Category"
"3093","STDT 2","13325","Students"
"3101","STDT 4","12039","Students"
"785","CLIN NURSE 2","10940","Staff"
"3328","TEACHG ASST-GSHIP","10653","Student Instruction"
"3090","STDT 1","9842","Students"
"3097","STDT 3","9528","Students"
"2507","POSTDOC-EMPLOYEE","7145","Research"
"551","BLANK AST 3","5623","Staff"
"1553","GSR-PARTIAL FEE REM","4421","Student Reasearch"
"1551","GSR-FULL FEE REM","4150","Student Reasearch"
"1552","GSR-NO REM","3449","Student Reasearch"
"2573","PROF-AY","3435","Senate"
"3325","TEACHER-UNEX-CONTRACT YR","3304","Acad Staff"
"548","BLANK AST 2","2666","Staff"
"2885","RESID PHYS II-VIII/REP","2591","Med Center"
"3326","TEACHG ASST-1/10-GSHIP","2338","Student Instruction"
"1031","CUSTODIAN SR","2298","Staff"
"1672","HS ASST CLIN PROF-HCOMP","2078","Non-Senate"
"3401","TUT-NON GSHIP","2056","Student Instruction"
"2171","NURSE PD","1821","Staff"
"786","CLIN NURSE 3","1796","Staff"
"2745","READER-NON GSHIP","1749","Student Instruction"
"2744","READER-GSHIP","1723","Student Instruction"
"1868","LECT-AY-1/9","1713","Unit 18"
"1554","GSR-TUIT & FEE REM","1563","Student Reasearch"
"3068","SRA 1","1539","Staff"
"396","ASST PROF-AY","1534","Senate"
"3400","TUT-GSHIP","1501","Student Instruction"
"140","ADMIN SPEC","1501","Admin Staff"
"1622","HOSP BLANK AST 3","1487","Staff"
"334","ASSOC PROF-AY","1454","Senate"
"2882","RESID PHYS I/REP","1428","Med Center"
"3070","SRA 2 NEX","1407","Research"
"318","ASSOC IN __ -AY-1/9-GSHIP","1373","Student Instruction"
"3092","STDT 1 WKSTY","1314","Students"
"1865","LECT-AY","1283","Unit 18"
"3194","STDT VOLUNTEER","1243","Students"
"2888","RESID PHYS/SUBSPEC 4-8/REP","1207","Med Center"
"2576","PROF-AY-B/E/E","1194","Senate"
"3104","STDT 4 WKSTY","1178","Students"
"110","ADMIN ANL","1157","Admin Staff"
"2580","PROF-HCOMP","1132","Senate"
"135","ADMIN OFCR 2","1090","Admin Staff"
"1679","HS CLIN PROF-HCOMP","1084","Non-Senate"
"115","ADMIN ANL SR","1051","Admin Staff"
"1870","LECT-AY-CONTINUING","1050","Unit 18"
"1668","HS ASSOC CLIN PROF-HCOMP","1028","Non-Senate"
"2007","MED CTR CUSTODIAN SR","1027","Med Center"
"2173","NURSE PRACT 2","1013","Staff"
"3116","STDT ACTIVITIES APPT OFFICIAL","994","Acad Staff"
"1790","JR SPECIALIST","956","Staff"
"3072","SRA 3","946","Staff"
"405","ASST PROJ SCIENTIST-FY","870","Research"
"284","ASC PHYSCN DIPLOMATE","851","Med Center"
"2884","RESID PHYS II-VIII/NON REP","846","Med Center"
"821","CLIN RSCH CRD","845","Med Center"
"3330","TEACHG ASST-NON GSHIP","823","Student Instruction"
"3484","VOC NURSE SR","801","Med Center"
"2859","REMD TUT I-NON GSHIP","787","Students"
"3027","SPC STDT BYA","776","Students"
"2298","PAT COMM REPR","746",""
"2099","MGR","744","Staff"
"1866","LECT-AY-1/10","739","Unit 18"
"2509","POSTDOC-FELLOW","736","Staff"
"771","CLIN LAB SCI","720","Staff"
"3324","TEACHER-UNEX","718","Acad Staff"
"1816","LAB AST 2","716","Research Staff"
"1676","HS CLIN INSTR-HCOMP","711","Non-Senate"
"1486","FOOD SVC WORKER","708","Staff"
"1142","DIR","700","Admin"
"2286","PAT BILLER 3","683",""
"2571","PROF OF CLIN-HCOMP","665","Senate"
"1024","CUSTODIAN","659","Staff"
"1815","LAB AST 1","656","Research Staff"
"2757","RECALL FACULTY","650","Senate"
