"Staff","All staf roles, physical and support that I can't classify"
"Unit 18","All Unit 18 titles"
"Athletics","All athletics and support stuff"
"Acad Staff","Advising, etc. Not a clear boundary. :/ "
"Non-Senate","Teaching faculty (adj, vis, etc) Not Unit 18"
"Senate","Senate Faculty, but not LPSOE series"
"Teaching Track","LPSOE series. Senate Faculty whose primary function is instruction"
"Admin Staff","staff directly supporting adminstration"
"Research Staff","Research support, including non-unionized research roles (?)"
"Research","Research Unionized roles"
"Student Instruction","Students in teaching positions"
"Students","Student jobs"
"Admin","Execs + Deans, Asst Deans, ""Directors"" and Asst Directors"
"Coach","Only Athletic Coaches"
"Student Reasearch","GSRs, etc"
"Med Center","Roles clearly applied to med schools and hospitals"
