title,category,secondary_category,source,rule_id,confidence,original_category,needs_review,review_notes,notes,is_health,uc_cto,uc_cto_name,uc_academic_group,family,level,successor_title,next_title,n_all,n_2025,n_2020,n_2010,first_year,last_year,avg_gross_all,avg_gross_2025
STDT 2,Students,Student Assistant,claude,G05,high,Students,,,,N,,,,STDT,2,,,228868,17526,13325,0,2012,2025,3152.0,4502.0
STDT 4,Students,Student Assistant,claude,G05,high,Students,,,,N,,,,STDT,4,,,187581,17085,12039,0,2012,2025,4315.0,5395.0
TEACHG ASST-GSHIP,Student Instruction,Teaching Assistant / Fellow,claude,G01,high,Student Instruction,,,,N,426,TEACHING ASSISTANT & EQUIVALENT,Student Teaching/Research Assistants,TEACHG ASST-GSHIP,1,,,184365,13132,10653,0,2012,2025,15851.0,26122.0
STDT 3,Students,Student Assistant,claude,G05,high,Students,,,,N,,,,STDT,3,,,160542,11732,9528,0,2012,2025,4156.0,5641.0
STDT 1,Students,Student Assistant,claude,G05,high,Students,,,,N,,,,STDT,1,,,156865,14701,9842,0,2012,2025,3245.0,4426.0
CLIN NURSE 2,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Staff,,,,Y,,,,CLIN NURSE,2,,CLIN NURSE 3,155118,17550,10940,0,2012,2025,124753.0,165454.0
POSTDOC-EMPLOYEE,Academic Research,Postdoctoral Scholar,claude,R01,high,Research,,,,N,575,POSTDOCTORAL SCHOLAR,Postdoctoral Scholars,POSTDOC-EMPLOYEE,1,,,120658,7946,7145,7875,2010,2025,38033.0,54719.0
BLANK AST 3,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,Staff,,,,N,,,,BLANK AST,3,,BLANK AST 4,87900,6336,5623,0,2012,2025,47656.0,67500.0
GSR-FULL FEE REM,Student Research,Graduate Student Researcher,claude,G04,high,Student Reasearch,,,,N,436,GRADUATE STUDENT RESEARCHER,Student Teaching/Research Assistants,GSR-FULL FEE REM,1,,,58914,5363,4150,0,2012,2025,23233.0,32535.0
GSR-PARTIAL FEE REM,Student Research,Graduate Student Researcher,claude,G04,high,Student Reasearch,,,,N,436,GRADUATE STUDENT RESEARCHER,Student Teaching/Research Assistants,GSR-PARTIAL FEE REM,1,,,55196,3636,4421,0,2012,2025,19934.0,29997.0
TEACHER-UNEX-CONTRACT YR,Other Academic,University Extension (UNEX) teacher / staff,claude,A05,high,Acad Staff,,,"CTO 828; by-agreement Extension instructors, not Unit 18",N,828,UNIVERSITY EXTENSION-OTHER,Other Academic Employees,TEACHER-UNEX-CONTRACT YR,1,,,47141,3107,3304,0,2012,2025,9300.0,11281.0
PROF-AY,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,Senate,,,,N,010,PROFESSORIAL-TENURE,Faculty - Ladder-rank and Equivalent,PROF-AY,3,,,46964,3501,3435,0,2012,2025,199258.0,257847.0
BLANK AST 2,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,Staff,,,,N,,,,BLANK AST,2,,BLANK AST 3,43892,2489,2666,0,2012,2025,35432.0,49410.0
ASSISTANT II,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,ASSISTANT,2,,,39864,0,0,19663,2010,2012,2364.0,
CUSTODIAN SR,Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,Staff,,,,N,,,,CUSTODIAN,2,,CUSTODIAN LD,34112,2949,2298,0,2012,2025,36424.0,47211.0
RESID PHYS II-VIII/REP,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,Med Center,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,RESID PHYS II,8,,,28803,4266,2591,0,2012,2025,71411.0,85826.0
GSR-NO REM,Student Research,Graduate Student Researcher,claude,G04,high,Student Reasearch,,,,N,436,GRADUATE STUDENT RESEARCHER,Student Teaching/Research Assistants,GSR-NO REM,1,,,27748,1225,3449,0,2012,2025,17346.0,23524.0
GSR-TUIT & FEE REM,Student Research,Graduate Student Researcher,claude,G04,high,Student Reasearch,,,,N,436,GRADUATE STUDENT RESEARCHER,Student Teaching/Research Assistants,GSR-TUIT & FEE REM,1,,,26800,2554,1563,0,2012,2025,25192.0,34181.0
NURSE PD,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Staff,,,,Y,,,,NURSE,1,,,26709,3122,1821,0,2012,2025,65387.0,93428.0
CLIN NURSE 3,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Staff,,,,Y,,,,CLIN NURSE,3,,CLIN NURSE 4,26409,2028,1796,0,2012,2025,145224.0,199854.0
TUT-NON GSHIP,Student Instruction,Reader / Tutor,claude,G02,high,Student Instruction,,,,N,456,OTHER STUDENT TITLES,Student Teaching/Research Assistants,TUT-NON GSHIP,1,,,25624,2107,2056,0,2012,2025,2741.0,3448.0
LECT-AY-1/9,Lecturers (Unit 18),Lecturer (Pre-Six),claude,L05,high,Unit 18,,,,N,225,LECTURER,Faculty - Lecturers,LECT-AY,1,,LECT-AY-1/9-CONTINUING,25606,1440,1713,0,2012,2025,14396.0,16829.0
HS ASST CLIN PROF-HCOMP,Non-Senate Faculty,Health Sciences Clinical Professor / Instructor,claude,F05,high,Non-Senate,,,,Y,341,HEALTH SCIENCES CLINICAL PROFESSOR,Faculty - Clinical/In-Residence/Adjunct,HS CLIN PROF-HCOMP,1,,HS ASSOC CLIN PROF-HCOMP,25120,2457,2078,0,2012,2025,254672.0,322568.0
ASSOC IN __ -AY-1/9-GSHIP,Student Instruction,Associate In (graduate student instructor),claude,G03,high,Student Instruction,,,,N,467,ASSOCIATE-STUDENT,Student Teaching/Research Assistants,ASSOC IN __ -AY-1/9-GSHIP,1,,,24910,909,1373,0,2012,2025,19634.0,32466.0
SRA 1,Staff - Professional & Supervisory,Research Support (staff),claude,P02,high,Staff,,,Staff Research Associate series,N,,,,SRA,1,,SRA 2 NEX,23678,1549,1539,0,2012,2025,26796.0,34756.0
RESID PHYS II-VIII/NON REP,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,Med Center,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,RESID PHYS II,8,,,23364,10,846,0,2012,2025,53284.0,76298.0
ASSISTANT III,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,ASSISTANT,3,,,23118,0,0,11397,2010,2012,2940.0,
TEACHING ASSISTANT - GSHIP,Student Instruction,Teaching Assistant / Fellow,claude,G01,high,,,,,N,,,,TEACHING ASSISTANT - GSHIP,1,,,22397,0,0,10869,2010,2012,12174.0,
READER-GSHIP,Student Instruction,Reader / Tutor,claude,G02,high,Student Instruction,,,,N,456,OTHER STUDENT TITLES,Student Teaching/Research Assistants,READER-GSHIP,1,,,22286,1776,1723,0,2012,2025,4053.0,3516.0
ASSOC PROF-AY,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,Senate,,,,N,010,PROFESSORIAL-TENURE,Faculty - Ladder-rank and Equivalent,PROF-AY,2,,PROF-AY,20256,1585,1454,0,2012,2025,126712.0,163668.0
HOSP BLANK AST 3,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,Staff,,,,Y,,,,HOSP BLANK AST,3,,HOSP BLANK AST 4,20099,2107,1487,0,2012,2025,53636.0,65958.0
ADMIN SPEC,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Admin Staff,,,,N,,,,ADMIN SPEC,1,,,19860,7,1501,0,2012,2025,40401.0,499.0
SRA 2 NEX,Staff - Professional & Supervisory,Research Support (staff),claude,P02,high,Research,,,Staff Research Associate series,N,,,,SRA,2,,SRA 3,19569,1528,1407,0,2012,2025,41318.0,54090.0
TUT-GSHIP,Student Instruction,Reader / Tutor,claude,G02,high,Student Instruction,,,,N,456,OTHER STUDENT TITLES,Student Teaching/Research Assistants,TUT-GSHIP,1,,,19540,1373,1501,0,2012,2025,3727.0,4131.0
READER-NON GSHIP,Student Instruction,Reader / Tutor,claude,G02,high,Student Instruction,,,,N,456,OTHER STUDENT TITLES,Student Teaching/Research Assistants,READER-NON GSHIP,1,,,18977,1761,1749,0,2012,2025,2419.0,2551.0
LECT-AY,Lecturers (Unit 18),Lecturer (Pre-Six),claude,L05,high,Unit 18,,,,N,225,LECTURER,Faculty - Lecturers,LECT-AY,1,,LECT-AY-CONTINUING,17732,1263,1283,0,2012,2025,42118.0,53524.0
STDT ACTIVITIES APPT OFFICIAL,Students,Student Employee (other),claude,G06,high,Acad Staff,Y,,,N,,,,STDT ACTIVITIES APPT OFFICIAL,1,,,17572,1192,994,0,2012,2025,2194.0,2006.0
ASST PROF-AY,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,Senate,,,,N,011,PROFESSORIAL-NON-TENURE,Faculty - Ladder-rank and Equivalent,PROF-AY,1,,ASSOC PROF-AY,16491,1254,1534,0,2012,2025,106563.0,135269.0
PROF-AY-B/E/E,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,Senate,,,,N,010,PROFESSORIAL-TENURE,Faculty - Ladder-rank and Equivalent,PROF-AY-B/E/E,3,,,16195,1244,1194,0,2012,2025,261154.0,336614.0
JR SPECIALIST,Academic Research,Specialist (research series),claude,R04,high,Staff,Y,,"Academic Specialist series (CTO 551/557), not Career Tracks 'SPEC'",N,,,,SPECIALIST,0,,ASST SPECIALIST,15608,1157,956,0,2012,2025,23297.0,35343.0
PROF-HCOMP,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,Senate,,,,Y,010,PROFESSORIAL-TENURE,Faculty - Ladder-rank and Equivalent,PROF-HCOMP,3,,,15487,1194,1132,0,2012,2025,353340.0,425793.0
HS CLIN PROF-HCOMP,Non-Senate Faculty,Health Sciences Clinical Professor / Instructor,claude,F05,high,Non-Senate,,,,Y,341,HEALTH SCIENCES CLINICAL PROFESSOR,Faculty - Clinical/In-Residence/Adjunct,HS CLIN PROF-HCOMP,3,,,15359,1755,1084,0,2012,2025,349374.0,438059.0
HS ASSOC CLIN PROF-HCOMP,Non-Senate Faculty,Health Sciences Clinical Professor / Instructor,claude,F05,high,Non-Senate,,,,Y,341,HEALTH SCIENCES CLINICAL PROFESSOR,Faculty - Clinical/In-Residence/Adjunct,HS CLIN PROF-HCOMP,2,,HS CLIN PROF-HCOMP,14760,1669,1028,0,2012,2025,319321.0,386410.0
LECT-AY-CONTINUING,Lecturers (Unit 18),Lecturer (Continuing),claude,L02,high,Unit 18,,,,N,225,LECTURER,Faculty - Lecturers,LECT-AY,2,,SR LECT-AY-CONTINUING,14714,1199,1050,0,2012,2025,74974.0,91752.0
ADMIN ANL,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Admin Staff,,,,N,,,,ADMIN ANL,1,,ADMIN ANL SR,14608,3,1157,0,2012,2025,50934.0,12780.0
SRA 3,Staff - Professional & Supervisory,Research Support (staff),claude,P02,high,Staff,,,Staff Research Associate series,N,,,,SRA,3,,SRA 4,14571,956,946,0,2012,2025,54224.0,71174.0
"NURSE, CLINICAL II",Health Care (Med Center & Clinical),Nursing,claude,H02,high,,,,,Y,,,,CLIN NURSE,2,CLIN NURSE 2,"NURSE, CLINICAL III",14503,0,0,7092,2010,2011,85920.0,
MED CTR CUSTODIAN SR,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,Med Center,,,,Y,,,,MED CTR CUSTODIAN,2,,MED CTR CUSTODIAN LD,14393,1571,1027,0,2012,2025,44259.0,53840.0
STDT VOLUNTEER,Students,Student Employee (other),claude,G06,high,Students,,,,N,,,,STDT VOLUNTEER,1,,,14145,1101,1243,0,2013,2025,575.0,884.0
TEACHG ASST-1/10-GSHIP,Student Instruction,Teaching Assistant / Fellow,claude,G01,high,Student Instruction,,,,N,426,TEACHING ASSISTANT & EQUIVALENT,Student Teaching/Research Assistants,TEACHG ASST-1/10-GSHIP,1,,,13931,2684,2338,0,2019,2025,17309.0,24509.0
_____ASSISTANT III,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,medium,,,,,N,,,,_____ASSISTANT,3,,,12922,0,0,6438,2010,2012,34943.0,
ASSISTANT IV,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,ASSISTANT,4,,,12879,0,0,6282,2010,2012,4058.0,
STDT AID OUTSIDE AGENCY,Students,Student Employee (other),claude,G06,high,Students,,,,N,,,,STDT AID OUTSIDE AGENCY,1,,,12512,760,613,0,2012,2025,1863.0,2488.0
ASC PHYSCN DIPLOMATE,Health Care (Med Center & Clinical),Physician / Advanced Practice Provider (staff),claude,H02,high,Med Center,,,,Y,,,,ASC PHYSCN DIPLOMATE,1,,,12442,1418,851,0,2012,2025,170118.0,218791.0
ASSISTANT I,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,ASSISTANT,1,,,12261,0,0,6010,2010,2012,2283.0,
MGR,Staff - Management,Management (generic title),claude,M06,high,Staff,,,,N,,,,MGR,1,,,11981,1,744,0,2012,2025,120908.0,0.0
ASST PROJ SCIENTIST-FY,Academic Research,Project Scientist,claude,R02,high,Research,,,,N,,,,PROJ SCIENTIST-FY,1,,ASSOC PROJ SCIENTIST-FY,11902,996,870,0,2012,2025,55558.0,69009.0
CLIN RSCH CRD,Health Care (Med Center & Clinical),Clinical Research Staff,claude,H02,high,Med Center,,,,Y,,,,CLIN RSCH CRD,1,,CLIN RSCH CRD SR NEX,11794,1635,845,0,2012,2025,49783.0,63746.0
