from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
"NURSE, CLINICAL II",CLIN NURSE 2,rename,high,6312,0.894,2012,2011,2012,"NURSE, CLINICAL",2,CLIN NURSE,2,claude
_____ASSISTANT III,BLANK AST 3,other,low,4797,0.778,2012,2012,2012,_____ASSISTANT,3,BLANK AST,3,claude
RESID PHYS I/REP,RESID PHYS II-VIII/REP,other,low,3851,0.987,2021|2022|2023|2024|2025,2025,2012,RESID PHYS,1,RESID PHYS II,8,claude
BLANK AST 2,BLANK AST 3,promotion,high,3238,0.584,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BLANK AST,2,BLANK AST,3,claude
PROFESSOR - ACADEMIC YEAR,PROF-AY,rename,high,3003,0.943,2012,2011,2012,PROFESSOR - ACADEMIC YEAR,3,PROF-AY,3,claude
_____ASSISTANT II,BLANK AST 2,rename,high,2986,0.704,2012,2011,2012,_____ASSISTANT,2,BLANK AST,2,claude
CLIN NURSE 1,CLIN NURSE 2,promotion,high,2947,0.993,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN NURSE,1,CLIN NURSE,2,claude
TEACHER-UNIV.EXT.-CONTRACT YR.,TEACHER-UNEX-CONTRACT YR,rename,high,2523,0.951,2012,2011,2012,TEACHER-UNIV.EXT.-CONTRACT YR.,1,TEACHER-UNEX-CONTRACT YR,1,claude
HS ASST CLIN PROF-HCOMP,HS ASSOC CLIN PROF-HCOMP,promotion,high,2220,0.793,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,HS CLIN PROF-HCOMP,1,HS CLIN PROF-HCOMP,2,claude
POSTDOC-EMPLOYEE,ASST PROJ SCIENTIST-FY,other,low,2043,0.266,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,POSTDOC-EMPLOYEE,1,PROJ SCIENTIST-FY,1,claude
CLIN NURSE 2,CLIN NURSE 3,promotion,high,1991,0.362,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN NURSE,2,CLIN NURSE,3,claude
ASST PROF-AY,ASSOC PROF-AY,promotion,high,1963,0.908,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF-AY,1,PROF-AY,2,claude
"CUSTODIAN, SR",CUSTODIAN SR,rename,high,1785,0.974,2012,2011,2012,CUSTODIAN,2,CUSTODIAN,2,claude
ASSOC PROF-AY,PROF-AY,promotion,high,1753,0.834,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF-AY,2,PROF-AY,3,claude
"NURSE, CLINICAL III",CLIN NURSE 3,rename,high,1638,0.893,2012,2011,2012,"NURSE, CLINICAL",3,CLIN NURSE,3,claude
CLIN NURSE 2,NURSE PD,other,low,1460,0.265,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN NURSE,2,NURSE,1,claude
ADMIN. SPECIALIST,ADMIN SPEC,other,low,1451,0.733,2012,2012,2012,ADMIN. SPECIALIST,1,ADMIN SPEC,1,claude
NURSE PD,CLIN NURSE 2,other,low,1343,0.779,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,NURSE,1,CLIN NURSE,2,claude
HS ASSOC CLIN PROF-HCOMP,HS CLIN PROF-HCOMP,promotion,high,1292,0.788,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,HS CLIN PROF-HCOMP,2,HS CLIN PROF-HCOMP,3,claude
DIRECTOR (FUNCTIONAL AREA),DIR,rename,high,1263,0.872,2012,2011,2012,DIRECTOR (FUNCTIONAL AREA),1,DIR,1,claude
