location,group,year,people,total_gross_pay,pay_per_person,people_index,pay_index,pay_per_person_index,cpi_w_ca_index,local_cpi_index,est_fulltime_regular_pay_cutoff
UC systemwide,Lecturers (Unit 18),2019,6836,244255183,35731,100.0,100.0,100.0,100.0,,
UC systemwide,Lecturers (Unit 18),2020,6610,237097188,35869,96.7,97.1,100.4,101.8,,
UC systemwide,Lecturers (Unit 18),2021,7009,234140942,33406,102.5,95.9,93.5,106.6,,
UC systemwide,Lecturers (Unit 18),2022,6777,271170769,40013,99.1,111.0,112.0,114.6,,
UC systemwide,Lecturers (Unit 18),2023,6901,268334600,38883,101.0,109.9,108.8,118.6,,
UC systemwide,Lecturers (Unit 18),2024,7215,288912307,40043,105.5,118.3,112.1,122.1,,
UC systemwide,Lecturers (Unit 18),2025,7071,293694902,41535,103.4,120.2,116.2,125.9,,
UC systemwide,Teaching professors,2019,360,44032107,122311,100.0,100.0,100.0,100.0,,
UC systemwide,Teaching professors,2020,424,56522258,133307,117.8,128.4,109.0,101.8,,
UC systemwide,Teaching professors,2021,480,66506835,138556,133.3,151.0,113.3,106.6,,
UC systemwide,Teaching professors,2022,514,74476425,144896,142.8,169.1,118.5,114.6,,
UC systemwide,Teaching professors,2023,559,86217789,154236,155.3,195.8,126.1,118.6,,
UC systemwide,Teaching professors,2024,636,101376063,159396,176.7,230.2,130.3,122.1,,
UC systemwide,Teaching professors,2025,690,116900460,169421,191.7,265.5,138.5,125.9,,
UC systemwide,Senate faculty,2019,8823,1585550672,179707,100.0,100.0,100.0,100.0,,
UC systemwide,Senate faculty,2020,9383,1765223159,188130,106.3,111.3,104.7,101.8,,
UC systemwide,Senate faculty,2021,9315,1789845352,192147,105.6,112.9,106.9,106.6,,
UC systemwide,Senate faculty,2022,9262,1850648230,199811,105.0,116.7,111.2,114.6,,
UC systemwide,Senate faculty,2023,9381,1966034327,209576,106.3,124.0,116.6,118.6,,
UC systemwide,Senate faculty,2024,9428,2093769289,222080,106.9,132.1,123.6,122.1,,
UC systemwide,Senate faculty,2025,9450,2189572766,231701,107.1,138.1,128.9,125.9,,
UC systemwide,All admin,2019,7384,1147116491,155352,100.0,100.0,100.0,100.0,,
UC systemwide,All admin,2020,6574,1021756242,155424,89.0,89.1,100.0,101.8,,
UC systemwide,All admin,2021,6010,988782613,164523,81.4,86.2,105.9,106.6,,
UC systemwide,All admin,2022,5950,997678710,167677,80.6,87.0,107.9,114.6,,
UC systemwide,All admin,2023,6178,1088900088,176254,83.7,94.9,113.5,118.6,,
UC systemwide,All admin,2024,6207,1165815010,187823,84.1,101.6,120.9,122.1,,
UC systemwide,All admin,2025,6277,1256115552,200114,85.0,109.5,128.8,125.9,,
Berkeley,Lecturers (Unit 18),2019,1680,48160784,28667,100.0,100.0,100.0,100.0,100.0,
Berkeley,Lecturers (Unit 18),2020,1647,50699212,30783,98.0,105.3,107.4,101.8,101.7,
Berkeley,Lecturers (Unit 18),2021,1753,50839108,29001,104.3,105.6,101.2,106.6,105.0,
Berkeley,Lecturers (Unit 18),2022,1774,65657714,37011,105.6,136.3,129.1,114.6,110.9,
Berkeley,Lecturers (Unit 18),2023,1746,61764835,35375,103.9,128.2,123.4,118.6,114.9,
Berkeley,Lecturers (Unit 18),2024,1963,67065861,34165,116.8,139.3,119.2,122.1,118.1,
Berkeley,Lecturers (Unit 18),2025,1889,67327950,35642,112.4,139.8,124.3,125.9,120.7,
Berkeley,Teaching professors,2019,22,3026257,137557,100.0,100.0,100.0,100.0,100.0,
Berkeley,Teaching professors,2020,26,4500502,173096,118.2,148.7,125.8,101.8,101.7,
Berkeley,Teaching professors,2021,34,6551138,192681,154.5,216.5,140.1,106.6,105.0,
Berkeley,Teaching professors,2022,43,8484215,197307,195.5,280.4,143.4,114.6,110.9,
Berkeley,Teaching professors,2023,46,9252645,201144,209.1,305.7,146.2,118.6,114.9,
Berkeley,Teaching professors,2024,52,10440794,200784,236.4,345.0,146.0,122.1,118.1,
Berkeley,Teaching professors,2025,53,11788126,222417,240.9,389.5,161.7,125.9,120.7,
Berkeley,Senate faculty,2019,1465,296028352,202067,100.0,100.0,100.0,100.0,100.0,
Berkeley,Senate faculty,2020,1484,313348631,211151,101.3,105.9,104.5,101.8,101.7,
Berkeley,Senate faculty,2021,1491,314353162,210834,101.8,106.2,104.3,106.6,105.0,
Berkeley,Senate faculty,2022,1465,319282979,217941,100.0,107.9,107.9,114.6,110.9,
Berkeley,Senate faculty,2023,1495,342053826,228799,102.0,115.5,113.2,118.6,114.9,
Berkeley,Senate faculty,2024,1518,370278307,243925,103.6,125.1,120.7,122.1,118.1,
Berkeley,Senate faculty,2025,1545,389967557,252406,105.5,131.7,124.9,125.9,120.7,
Berkeley,All admin,2019,622,93241358,149906,100.0,100.0,100.0,100.0,100.0,
Berkeley,All admin,2020,618,98390753,159208,99.4,105.5,106.2,101.8,101.7,
Berkeley,All admin,2021,619,102282258,165238,99.5,109.7,110.2,106.6,105.0,
Berkeley,All admin,2022,645,110388227,171145,103.7,118.4,114.2,114.6,110.9,
Berkeley,All admin,2023,654,122132399,186747,105.1,131.0,124.6,118.6,114.9,
Berkeley,All admin,2024,674,130098050,193024,108.4,139.5,128.8,122.1,118.1,
Berkeley,All admin,2025,692,136110627,196692,111.3,146.0,131.2,125.9,120.7,
