location,group,year,people,total_gross_pay,pay_per_person,people_index,pay_index,pay_per_person_index,cpi_w_ca_index,local_cpi_index
UC systemwide,Lecturers (Unit 18),2021,7009,234140942,33406,100.0,100.0,100.0,100.0,
UC systemwide,Lecturers (Unit 18),2022,9347,272801341,29186,133.4,116.5,87.4,107.6,
UC systemwide,Lecturers (Unit 18),2023,6901,268334600,38883,98.5,114.6,116.4,111.3,
UC systemwide,Lecturers (Unit 18),2024,7215,288912307,40043,102.9,123.4,119.9,114.6,
UC systemwide,Lecturers (Unit 18),2025,7071,293694902,41535,100.9,125.4,124.3,118.2,
UC systemwide,Teaching professors,2021,480,66506835,138556,100.0,100.0,100.0,100.0,
UC systemwide,Teaching professors,2022,514,74476425,144896,107.1,112.0,104.6,107.6,
UC systemwide,Teaching professors,2023,559,86217789,154236,116.5,129.6,111.3,111.3,
UC systemwide,Teaching professors,2024,636,101376063,159396,132.5,152.4,115.0,114.6,
UC systemwide,Teaching professors,2025,690,116900460,169421,143.8,175.8,122.3,118.2,
UC systemwide,Senate faculty,2021,9315,1789845352,192147,100.0,100.0,100.0,100.0,
UC systemwide,Senate faculty,2022,9262,1850648230,199811,99.4,103.4,104.0,107.6,
UC systemwide,Senate faculty,2023,9381,1966034327,209576,100.7,109.8,109.1,111.3,
UC systemwide,Senate faculty,2024,9428,2093769289,222080,101.2,117.0,115.6,114.6,
UC systemwide,Senate faculty,2025,9450,2189572766,231701,101.4,122.3,120.6,118.2,
UC systemwide,All admin,2021,6010,988782613,164523,100.0,100.0,100.0,100.0,
UC systemwide,All admin,2022,5950,997678710,167677,99.0,100.9,101.9,107.6,
UC systemwide,All admin,2023,6178,1088900088,176254,102.8,110.1,107.1,111.3,
UC systemwide,All admin,2024,6207,1165815010,187823,103.3,117.9,114.2,114.6,
UC systemwide,All admin,2025,6277,1256115552,200114,104.4,127.0,121.6,118.2,
Berkeley,Lecturers (Unit 18),2021,1753,50839108,29001,100.0,100.0,100.0,100.0,
Berkeley,Lecturers (Unit 18),2022,2411,66108398,27419,137.5,130.0,94.5,107.6,
Berkeley,Lecturers (Unit 18),2023,1746,61764835,35375,99.6,121.5,122.0,111.3,
Berkeley,Lecturers (Unit 18),2024,1963,67065861,34165,112.0,131.9,117.8,114.6,
Berkeley,Lecturers (Unit 18),2025,1889,67327950,35642,107.8,132.4,122.9,118.2,
Berkeley,Teaching professors,2021,34,6551138,192681,100.0,100.0,100.0,100.0,
Berkeley,Teaching professors,2022,43,8484215,197307,126.5,129.5,102.4,107.6,
Berkeley,Teaching professors,2023,46,9252645,201144,135.3,141.2,104.4,111.3,
Berkeley,Teaching professors,2024,52,10440794,200784,152.9,159.4,104.2,114.6,
Berkeley,Teaching professors,2025,53,11788126,222417,155.9,179.9,115.4,118.2,
Berkeley,Senate faculty,2021,1491,314353162,210834,100.0,100.0,100.0,100.0,
Berkeley,Senate faculty,2022,1465,319282979,217941,98.3,101.6,103.4,107.6,
Berkeley,Senate faculty,2023,1495,342053826,228799,100.3,108.8,108.5,111.3,
Berkeley,Senate faculty,2024,1518,370278307,243925,101.8,117.8,115.7,114.6,
Berkeley,Senate faculty,2025,1545,389967557,252406,103.6,124.1,119.7,118.2,
Berkeley,All admin,2021,619,102282258,165238,100.0,100.0,100.0,100.0,
Berkeley,All admin,2022,645,110388227,171145,104.2,107.9,103.6,107.6,
Berkeley,All admin,2023,654,122132399,186747,105.7,119.4,113.0,111.3,
Berkeley,All admin,2024,674,130098050,193024,108.9,127.2,116.8,114.6,
Berkeley,All admin,2025,692,136110627,196692,111.8,133.1,119.0,118.2,
