year,role,people,gross_pay,people_index,pay_index,pay_per_person
2019,All admin,7384,1147116491.0,100.0,100.0,155352.0
2020,All admin,6574,1021756242.0,89.0,89.1,155424.0
2021,All admin,6010,988782613.0,81.4,86.2,164523.0
2022,All admin,5950,997678710.0,80.6,87.0,167677.0
2023,All admin,6178,1088900088.0,83.7,94.9,176254.0
2024,All admin,6207,1165815010.0,84.1,101.6,187823.0
2025,All admin,6277,1256115552.0,85.0,109.5,200114.0
2019,Lecturers (Unit 18),6836,244255183.0,100.0,100.0,35731.0
2020,Lecturers (Unit 18),6610,237097188.0,96.7,97.1,35869.0
2021,Lecturers (Unit 18),7009,234140942.0,102.5,95.9,33406.0
2022,Lecturers (Unit 18),9347,272801341.0,136.7,111.7,29186.0
2023,Lecturers (Unit 18),6901,268334600.0,101.0,109.9,38883.0
2024,Lecturers (Unit 18),7215,288912307.0,105.5,118.3,40043.0
2025,Lecturers (Unit 18),7071,293694902.0,103.4,120.2,41535.0
2019,Senate faculty,9758,1621613818.0,100.0,100.0,166183.0
2020,Senate faculty,10308,1799973806.0,105.6,111.0,174619.0
2021,Senate faculty,10241,1828673932.0,104.9,112.8,178564.0
2022,Senate faculty,10240,1890727367.0,104.9,116.6,184641.0
2023,Senate faculty,10373,2009187457.0,106.3,123.9,193694.0
2024,Senate faculty,10449,2141369414.0,107.1,132.1,204935.0
2025,Senate faculty,10435,2234312202.0,106.9,137.8,214117.0
2019,Teaching professors,360,44032107.0,100.0,100.0,122311.0
2020,Teaching professors,424,56522258.0,117.8,128.4,133307.0
2021,Teaching professors,480,66506835.0,133.3,151.0,138556.0
2022,Teaching professors,514,74476425.0,142.8,169.1,144896.0
2023,Teaching professors,559,86217789.0,155.3,195.8,154236.0
2024,Teaching professors,636,101376063.0,176.7,230.2,159396.0
2025,Teaching professors,690,116900460.0,191.7,265.5,169421.0
