,Title,count
2,COORD FLD WK-AY-CONTINUING,1
3,COORD FLD WK-FY,1
7,FLD WK SUPV-AY,1
19,SR LECT-AY,1
4,COORD FLD WK-FY-CONTINUING,2
20,SR LECT-AY-1/9-CONTINUING,2
6,FLD WK CONSULT-AY-CONTINUING,5
1,CONTINUING APPT-TEMP AUG-1/9,7
5,FLD WK CONSULT-AY,10
18,LECTURER,17
8,FLD WK SUPV-FY,18
12,LECT-AY-1/10-CONTINUING,19
0,CONTINUING APPT-TEMP AUG,31
23,TEACHER-SPEC PROG-CONTINUING,40
21,SR LECT-AY-CONTINUING,54
14,LECT-AY-1/9-CONTINUING,72
17,LECT-FY-CONTINUING,94
22,TEACHER-SPEC PROG,138
16,LECT-FY,299
9,LECT IN SUMMER SESSION,558
11,LECT-AY-1/10,739
15,LECT-AY-CONTINUING,1050
10,LECT-AY,1283
13,LECT-AY-1/9,1713
